Uniprot,Protein Symbol,Article Count,Interactions,GO Score,GO Terms
O75381,PEX14,260,4,3,"['GO:0005829', 'GO:0001650', 'GO:0016020', 'GO:0005634', 'GO:1990429', 'GO:0005778', 'GO:0005777', 'GO:0032991', 'GO:0048487', 'GO:0042802', 'GO:0008017', 'GO:0008320', 'GO:0030674', 'GO:0005102', 'GO:0003714', 'GO:0034614', 'GO:0034453', 'GO:0043433', 'GO:0045892', 'GO:0032091', 'GO:0007031', 'GO:0036250', 'GO:0016558', 'GO:0016560', 'GO:0044721', 'GO:0016561', 'GO:0065003']"
O75414,NME6,23,3,0,"['GO:0005743', 'GO:0005759', 'GO:0005739', 'GO:0005524', 'GO:0046872', 'GO:0004550', 'GO:0006915', 'GO:0006241', 'GO:0006183', 'GO:0030308', 'GO:0045839', 'GO:0006228']"
O75494,SRSF10,84,2,-3,"['GO:0043679', 'GO:0005737', 'GO:0005829', 'GO:0030425', 'GO:0043025', 'GO:0016607', 'GO:0005654', 'GO:0005634', 'GO:0003723', 'GO:0050733', 'GO:0051082', 'GO:0016482', 'GO:0006376', 'GO:0000398', 'GO:0048025', 'GO:0006355', 'GO:0048024', 'GO:0000375', 'GO:0000244']"
O75592,MYCBP2,90,5,0,"['GO:0030424', 'GO:0005737', 'GO:0005829', 'GO:0043231', 'GO:0016020', 'GO:0015630', 'GO:0005654', 'GO:0005634', 'GO:0005886', 'GO:0005085', 'GO:0042802', 'GO:0031267', 'GO:0061630', 'GO:0008270', 'GO:0007411', 'GO:0021785', 'GO:0021952', 'GO:0032922', 'GO:0042177', 'GO:0050905', 'GO:0031398', 'GO:0070936', 'GO:0016567', 'GO:1902667', 'GO:0051493', 'GO:0032880', 'GO:0008582']"
O75688,PPM1B,121,4,-1,"['GO:0005829', 'GO:0016020', 'GO:0005730', 'GO:0005634', 'GO:0000287', 'GO:0030145', 'GO:0017018', 'GO:0004722', 'GO:0006499', 'GO:0043124', 'GO:0050687', 'GO:0032688', 'GO:1901223', 'GO:0035970', 'GO:0090263', 'GO:0006470']"
O75828,CBR3,160,2,0,"['GO:0005829', 'GO:0005615', 'GO:0005654', 'GO:0000253', 'GO:0004090', 'GO:0070402', 'GO:0008753', 'GO:0050890', 'GO:0042376', 'GO:0006805']"
O75881,CYP7B1,366,2,0,"['GO:0005789', 'GO:0033782', 'GO:0033783', 'GO:0047092', 'GO:0020037', 'GO:0005506', 'GO:0008396', 'GO:0035754', 'GO:0006699', 'GO:0042632', 'GO:0008203', 'GO:0050673', 'GO:0030520', 'GO:0033147', 'GO:0050679', 'GO:0060740', 'GO:0016125']"
O94776,MTA2,189,6,9,"['GO:0000785', 'GO:0000781', 'GO:0000118', 'GO:0016020', 'GO:0005654', 'GO:0005634', 'GO:0016581', 'GO:0032991', 'GO:0005667', 'GO:0003682', 'GO:0004407', 'GO:0042826', 'GO:0046872', 'GO:0061629', 'GO:0043565', 'GO:0003713', 'GO:0003714', 'GO:0006325', 'GO:0006338', 'GO:0045892', 'GO:0000122', 'GO:0045893', 'GO:0045944', 'GO:0042659', 'GO:0010762', 'GO:2000736']"
O94850,DDN,304,1,3,"['GO:0042995', 'GO:0005737', 'GO:0032591', 'GO:0005789', 'GO:0005634', 'GO:0043204', 'GO:0045211', 'GO:0000981', 'GO:0000978', 'GO:0045944']"
O94854,MACF1,195,11,0,"['GO:0005737', 'GO:0005856', 'GO:0005509', 'GO:0008017', 'GO:0045104']"
O94886,TMEM63A,30,0,0,"['GO:0034451', 'GO:0031901', 'GO:0070062', 'GO:0043231', 'GO:0005765', 'GO:0005886', 'GO:0035579', 'GO:0070821', 'GO:0005227', 'GO:0008381', 'GO:0003676', 'GO:1990760', 'GO:0160069']"
O94892,ZNF432,3,0,5,"['GO:0005654', 'GO:0005634', 'GO:0003684', 'GO:0000981', 'GO:0046872', 'GO:0030674', 'GO:0000978', 'GO:0006974', 'GO:0006357']"
O95045,UPP2,24,2,0,"['GO:0005829', 'GO:0045098', 'GO:0047847', 'GO:0042802', 'GO:0004850', 'GO:0006249', 'GO:0009116', 'GO:0044206', 'GO:0006218', 'GO:0046108']"
O95155,UBE4B,108,10,0,"['GO:0005737', 'GO:0005634', 'GO:0000151', 'GO:0019899', 'GO:0034450', 'GO:0036503', 'GO:0008626', 'GO:0043161', 'GO:0000209', 'GO:0009411', 'GO:0006511']"
O95208,EPN2,39,7,0,"['GO:0030125', 'GO:0005829', 'GO:0005768', 'GO:0043231', 'GO:0005886', 'GO:0045296', 'GO:0030276', 'GO:0005543', 'GO:0006897', 'GO:1903671', 'GO:0030948', 'GO:0045747']"
O95251,KAT7,156,5,7,"['GO:0000785', 'GO:0005694', 'GO:0000775', 'GO:0005829', 'GO:0000123', 'GO:0036409', 'GO:0005654', 'GO:0005634', 'GO:0090734', 'GO:0003682', 'GO:0003688', 'GO:0004402', 'GO:0010484', 'GO:0036408', 'GO:0043994', 'GO:0044016', 'GO:0010485', 'GO:0043997', 'GO:0043995', 'GO:0043996', 'GO:0003712', 'GO:0008270', 'GO:0006281', 'GO:0006260', 'GO:0140889', 'GO:0018393', 'GO:0001779', 'GO:0045740', 'GO:0032786', 'GO:1902035', 'GO:1900182', 'GO:0051726', 'GO:0001558', 'GO:2000278', 'GO:0006275', 'GO:0030174', 'GO:0006355', 'GO:2000819', 'GO:0006357', 'GO:0072716', 'GO:0072739', 'GO:0072720', 'GO:0072710', 'GO:0072708', 'GO:0031098', 'GO:0045815']"
O95363,FARS2,46,2,-2,"['GO:0005737', 'GO:0005759', 'GO:0005739', 'GO:0005524', 'GO:0004826', 'GO:0000049', 'GO:0006432', 'GO:0006418', 'GO:0008033']"
O95613,PCNT,206,15,0,"['GO:0034451', 'GO:0005814', 'GO:0005813', 'GO:0005829', 'GO:0016020', 'GO:0005874', 'GO:0005516', 'GO:0060090', 'GO:0060271', 'GO:0000226', 'GO:0007052', 'GO:0090316', 'GO:0007165']"
O95757,HSPA4L,61,9,0,"['GO:0005737', 'GO:0005829', 'GO:0005634', 'GO:0000774', 'GO:0005524', 'GO:0140662', 'GO:0006457', 'GO:0006986']"
O95831,AIFM1,806,3,1,"['GO:0005737', 'GO:0005829', 'GO:0005743', 'GO:0005758', 'GO:0005739', 'GO:0005634', 'GO:0048471', 'GO:0003677', 'GO:0071949', 'GO:0016174', 'GO:0003954', 'GO:0016651', 'GO:0072572', 'GO:0046983', 'GO:0006919', 'GO:0006915', 'GO:1904045', 'GO:0071392', 'GO:0070301', 'GO:0071456', 'GO:0071732', 'GO:0030261', 'GO:0070059', 'GO:0033108', 'GO:0032981', 'GO:0051402', 'GO:0030182', 'GO:0043065', 'GO:0060545', 'GO:0043525', 'GO:0045041', 'GO:1902510', 'GO:0002931', 'GO:1902065', 'GO:0009636']"
P01100,FOS,36944,17,16,"['GO:0000785', 'GO:0005829', 'GO:0005783', 'GO:0005654', 'GO:0005634', 'GO:0032993', 'GO:0090575', 'GO:0035976', 'GO:0003682', 'GO:0001228', 'GO:0003700', 'GO:0000981', 'GO:0042802', 'GO:0070412', 'GO:0000978', 'GO:0000979', 'GO:0061629', 'GO:1990837', 'GO:0000976', 'GO:0001221', 'GO:0071276', 'GO:0071277', 'GO:0071364', 'GO:0071456', 'GO:0071374', 'GO:1904628', 'GO:1990646', 'GO:0034614', 'GO:0071356', 'GO:0034224', 'GO:0001661', 'GO:0007565', 'GO:0006954', 'GO:0140467', 'GO:1903131', 'GO:0051450', 'GO:0007399', 'GO:0030316', 'GO:0045893', 'GO:1902895', 'GO:0045672', 'GO:0045944', 'GO:0006357', 'GO:0014823', 'GO:0051591', 'GO:0051412', 'GO:0045471', 'GO:0009629', 'GO:0035902', 'GO:0032868', 'GO:0009416', 'GO:0032496', 'GO:0035994', 'GO:0032570', 'GO:0009636', 'GO:0009410', 'GO:0035914', 'GO:0014856', 'GO:0060395', 'GO:0006366', 'GO:0007179']"
P01857,NA,0,0,0,"['GO:0072562', 'GO:0070062', 'GO:0005576', 'GO:0005615', 'GO:0071735', 'GO:0042571', 'GO:0005886', 'GO:0003823', 'GO:0034988', 'GO:0034987', 'GO:0002250', 'GO:0019731', 'GO:0001788', 'GO:0050853', 'GO:0006958', 'GO:0097278']"
P01889,HLA-B,15530,2,0,"['GO:0009986', 'GO:0031901', 'GO:0005783', 'GO:0012507', 'GO:0009897', 'GO:0070062', 'GO:0005615', 'GO:0005794', 'GO:0000139', 'GO:0098553', 'GO:0016020', 'GO:0042612', 'GO:0030670', 'GO:0005886', 'GO:0055038', 'GO:0030667', 'GO:0042605', 'GO:0051087', 'GO:0005102', 'GO:0046977', 'GO:0002250', 'GO:0002486', 'GO:0002476', 'GO:0006952', 'GO:0016045', 'GO:0006955', 'GO:0045087', 'GO:0001916', 'GO:0042270', 'GO:2001198', 'GO:0032655', 'GO:0032675', 'GO:0002667']"
P02452,COL1A1,5689,13,1,"['GO:0005584', 'GO:0062023', 'GO:0005737', 'GO:0005788', 'GO:0005576', 'GO:0005615', 'GO:0030141', 'GO:0030020', 'GO:0042802', 'GO:0046872', 'GO:0048407', 'GO:0002020', 'GO:0001568', 'GO:0060346', 'GO:0060351', 'GO:0071230', 'GO:0071364', 'GO:0044344', 'GO:1902618', 'GO:0071333', 'GO:0071260', 'GO:0071300', 'GO:0071560', 'GO:0071356', 'GO:0071306', 'GO:0032964', 'GO:0030199', 'GO:0038063', 'GO:0048706', 'GO:0001958', 'GO:0030198', 'GO:0060325', 'GO:0001957', 'GO:0010812', 'GO:0001503', 'GO:0001649', 'GO:0090263', 'GO:0030335', 'GO:0045893', 'GO:0010718', 'GO:0034504', 'GO:0015031', 'GO:0051591', 'GO:0032355', 'GO:0042542', 'GO:0055093', 'GO:0032868', 'GO:0009612', 'GO:0048545', 'GO:0009410', 'GO:0007605', 'GO:0001501', 'GO:0043588', 'GO:0043589', 'GO:0034505', 'GO:0007601']"
P02585,TNNC2,45,26,0,"['GO:0005829', 'GO:0005861', 'GO:0005509', 'GO:0006937', 'GO:0003009']"
